Fecha,Hidráulica,Eólica,Solar fotovoltaica,Solar térmica,Hidroeólica,Otras renovables,Residuos renovables,Generación renovable,Turbinación bombeo,Nuclear,Ciclo combinado,Carbón,Motores diésel,Turbina de gas,Turbina de vapor,Fuel + Gas,Cogeneración,Residuos no renovables,Generación no renovable,Consumos en bombeo,Importación Francia,Importación Portugal,Importación Marruecos,Importación Andorra,Exportación Francia,Exportación Portugal,Exportación Marruecos,Exportación Andorra,Saldo I. internacionales,Demanda
2018-04-30,149.503622,104.155174,22.828169999999997,7.4381319999999995,0.074597,9.362673000000001,2.5812354999999996,295.94360350000005,16.572962,121.14077400000001,43.937143,43.437898000000004,7.972689999999999,2.757289,6.334803,0.0,80.68083100000001,6.9239345000000005,329.7583245,-10.886296,76.53424700000001,8.487379,0.0,0.0,-0.039519,-23.737764,-18.3029,-0.28429000000000004,42.657153,657.4727849999999
2018-05-01,120.871095,95.995851,26.472402,10.566432,0.062307,9.592179,2.515446,266.075712,9.506478,121.207587,45.481128,39.812180999999995,7.836902,2.377733,5.6741589999999995,0.0,77.62878599999999,6.838261999999999,316.363216,-21.716323,69.58559600000001,5.372969,0.0135,0.0,-0.12359300000000001,-30.368039,-9.459299999999999,-0.48431,34.536823,595.259428
2018-05-02,135.673627,154.317702,29.227666000000003,17.152124,0.025765,9.749243,2.5184279999999997,348.6645550000001,10.734343,121.17652899999999,45.660697,42.622912,8.657347,3.094401,6.836834,0.0,81.309278,6.565105,326.65744600000005,-9.275886,52.684912,13.583523999999999,0.0,0.0,-1.94133,-18.067595,-15.0328,-0.50271,30.724001,696.770116
2018-05-03,130.973114,236.711459,26.955715,17.701301,0.049125,9.905001,2.20349,424.49920499999996,6.5505,121.10083900000001,47.091805,40.282861,8.469101,3.148129,6.666158,0.0,80.20137799999999,6.113406,319.624177,-6.520072,41.384405,5.443211,0.0,0.0,-4.504448999999999,-35.863021999999994,-16.428900000000002,-0.6511,-10.619855,726.9834549999999
2018-05-04,122.405372,235.34659299999998,28.835102,20.249098999999998,0.044601,10.352205,1.7845374999999999,419.01750949999996,6.18635,121.07480899999999,36.570026,35.153853000000005,8.370612,2.955476,6.813892,0.0,81.86108800000001,6.083006500000001,305.06911249999996,-13.44617,63.826806,8.328353,0.0,0.0,-1.530589,-38.122595000000004,-14.6564,-0.58538,17.260195,727.900647
2018-05-05,114.219522,136.76347,27.469782,20.919919999999998,0.031702,10.720858,1.7207295,311.8459835,1.322249,120.930707,46.790996,36.367955,8.120412,3.320609,6.481737,0.0,76.35224000000001,6.2616535,305.94855850000005,-4.39679,74.25851300000001,7.086797,0.0,0.00019,-0.314038,-27.744928,-13.5245,-0.90885,38.853184,652.250936
2018-05-06,108.38385099999999,81.60480899999999,27.293515,18.244315,0.023545000000000003,10.348271,1.534356,247.43266200000002,2.9765010000000003,120.564527,57.872602,36.939085,7.987368999999999,2.5512989999999998,6.140186,0.0,72.876772,5.813587999999999,313.721929,-11.870211,69.961845,6.945614,0.0104,0.00017999999999999998,-0.15856800000000001,-19.05003,-11.7638,-0.6460499999999999,45.299591,594.583971
2018-05-07,157.622412,36.920583,27.347238,18.81283,0.041162,10.537621999999999,1.4336585,252.71550550000003,17.477926,120.16486900000001,91.355716,60.368581,8.350665000000001,4.302586,5.446052,0.0,74.785693,5.811984499999999,388.0640725,-0.504414,70.258329,24.341960999999998,0.0,0.0,-0.975237,-9.577440000000001,-18.432,-0.18699000000000002,65.428623,705.703787
2018-05-08,145.403947,82.37792,24.558734,13.514061,0.045376,10.623154000000001,1.354328,277.8775199999999,3.725513,120.09219800000001,87.22597900000001,62.440546000000005,7.860067,4.624938,5.368442,0.0,74.492119,5.516987,371.34678900000006,-0.373647,65.902918,34.581103000000006,0.0,0.0,-2.4792240000000003,-5.402809,-18.3609,-0.37274,73.868348,722.71901
2018-05-09,120.649308,129.46282399999998,25.433638,6.570682,0.063535,9.837838,1.462636,293.4804609999999,1.126063,119.918582,70.88920200000001,69.955466,8.277092,3.104255,4.501773,0.0,77.173788,4.831854,359.778075,-2.432379,71.03392699999999,27.626533,0.0,0.0,-2.5063980000000003,-7.956408000000001,-16.6008,-0.49459,71.10226399999999,721.928421
2018-05-10,115.225882,159.671658,25.57512,13.035675,0.075672,9.438147,1.346633,324.36878699999994,4.755159,119.841799,69.961942,67.055246,8.193897999999999,2.8620810000000003,5.246813,0.0,79.932924,4.2412730000000005,362.091135,-6.057716999999999,66.218945,15.376076,0.004,0.00020999999999999998,-2.907667,-24.764855,-12.1125,-0.29918,41.515029000000006,721.917234
2018-05-11,137.894715,76.816678,28.774818,19.822761999999997,0.082505,8.857370000000001,1.315264,273.564112,5.299833,119.546003,84.232721,69.611905,8.108406,3.2021379999999997,5.358112,0.0,80.444507,4.026514,379.83013900000003,0.551969,73.593123,20.668616,0.0,5.9999999999999995e-05,-2.1119850000000002,-14.904513000000001,-13.6253,-0.16682,63.453180999999994,717.3994010000001
2018-05-12,90.487914,196.06633,26.708624,17.170351,0.07416500000000001,8.265147,0.9736509999999999,339.74618200000003,4.6612160000000005,112.373935,34.323527,44.935335,7.075539,2.878886,4.914065,0.0,76.338504,3.5944920000000002,291.095499,-27.768183,62.999195,15.242156999999999,0.0004,0.0,-2.872673,-19.220685,-12.149,-0.45262,43.546774,646.620272
2018-05-13,84.25895,187.274844,32.280623,25.284868,0.102465,7.56124,0.6487474999999999,337.4117375000001,8.627139,125.334,36.911729,40.443051,6.620018,2.498823,4.311281,0.0,72.646001,3.1385955,300.5306375,-49.389114,61.618188,0.736121,0.047,4e-05,-0.155973,-43.349682,-11.0991,-0.29602999999999996,7.500564000000001,596.053825
2018-05-14,93.205746,154.7329,28.901760999999997,23.828866,0.11047799999999999,7.380890999999999,0.74727,308.907912,7.871332000000001,136.531764,45.669737,50.221167,7.851046999999999,2.477388,5.44564,0.0,78.573174,3.383911,338.02516,-5.211074,59.670799,16.978903,0.1178,1e-05,-0.87105,-6.914091999999999,-8.1055,-0.31106,60.56581,702.287808
2018-05-15,90.852599,173.924422,33.259442,28.879063,0.108632,8.35733,0.7693424999999999,336.15083050000004,7.843876,143.06479000000002,50.451741999999996,48.944500999999995,8.397099,2.4704140000000003,5.8632349999999995,0.0,78.18639999999999,3.4550155,348.6770724999999,-3.748725,57.12949,6.0570450000000005,0.1467,0.0,-1.798452,-23.126745,-6.6617,-0.46920999999999996,31.277128,712.3563060000001
2018-05-16,95.212622,170.13197399999999,32.91025,29.648653999999997,0.110523,8.323539,0.7704605,337.10802249999995,8.584541999999999,143.422656,40.065845,50.457052000000004,8.520494000000001,3.1262559999999997,6.485505,0.0,80.049409,3.3961734999999997,344.10793249999995,-4.910795,63.517317999999996,14.437313,0.0,0.0,-1.041997,-14.730139,-14.8493,-0.47402999999999995,46.859165000000004,723.164325
2018-05-17,104.084422,134.77659,29.548261,27.603360000000002,0.106632,8.873460999999999,0.7342380000000001,305.72696399999995,6.905738,143.645446,37.397047,60.62231,8.690826,3.068711,6.479234,0.0,80.14624,3.493869,350.44942100000003,-2.5387020000000002,67.073443,20.265855,0.005900000000000001,0.0,-0.416197,-8.036772,-12.6696,-0.51049,65.712139,719.349822
2018-05-18,127.033492,100.659893,23.816831999999998,14.90542,0.082248,9.007056,0.5792885,276.0842295,6.7079960000000005,133.947153,54.733582000000006,68.175436,8.655159,3.345604,6.310308,0.0,81.859234,3.4818105,367.21628250000003,-0.270207,67.29660000000001,24.30832,0.0363,0.0,-0.435515,-5.78858,-11.5975,-0.38850999999999997,73.431115,716.4614200000001
2018-05-19,103.987147,84.76535799999999,27.583791,16.592813,0.073437,9.171113,0.709966,242.883625,2.285462,120.412758,72.083588,54.444089999999996,8.530353,2.54329,5.90892,0.0,77.881918,3.9114,348.00177900000006,-4.2468509999999995,61.545299,15.735189,0.0726,0.0,-0.683139,-6.322313,-10.7534,-0.61765,58.976586000000005,645.615139
2018-05-20,101.382281,56.030995000000004,24.496620999999998,7.124816,0.053235,9.060167999999999,0.8271635,198.97527949999997,1.702137,121.037225,78.099812,70.72141099999999,8.817413,1.865132,5.5483,0.0,75.494175,4.0980704999999995,367.38367549999987,-9.092056000000001,48.929097999999996,11.252554,0.3419,0.0,-1.251463,-13.289388,-10.1943,-0.32031,35.468091,592.73499
